Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
9,"{'primary': {'value': '.2', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}}",Internal dimension in Section B-B,dimension,Section B-B,1,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feature_Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerances,,,,,,,,,,,,,,,,,,,,,,,,,"{'linear': ""unspecified (implied by 'UNLESS OTHERWISE SPECIFIED' note)"", 'angular': ""unspecified (implied by 'UNLESS OTHERWISE SPECIFIED' note)"", 'standard_reference': 'unspecified'}",[],
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,['A'],4X ⌀.130 THRU holes,Below 4X ⌀.130 THRU dimension in main view,"RFS (implied, no modifier)",position,⌀.005,cylindrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,['A'],2X ⌀.460 THRU holes,Below 2X ⌀.460 THRU dimension in main view,"RFS (implied, no modifier)",position,⌀.050,cylindrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,Indicated surfaces,RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER,,Process specified,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,,,,,,1,Center hole of the part,1,unspecified,THRU ALL,8-32 UNC,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,"Through the 4X holes, indicated on main view","[{'feature': 'Thru hole diameter', 'value': '4X ⌀.063', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}, {'feature': 'Internal dimension', 'value': '1.336', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}]",SECTION A-A,Same as main (implied),full section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,"Through the 2X holes, indicated on main view","[{'feature': 'Reference dimension', 'value': '(1.094)', 'unit': 'inches (implied)', 'tolerance': 'reference'}, {'feature': 'Internal dimension', 'value': '.826', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}, {'feature': 'Internal dimension', 'value': '.2', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}]",SECTION B-B,Same as main (implied),full section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,3,"Perpendicular to Surface A, showing pocket","[{'feature': 'Pocket radius', 'value': 'R.385', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}, {'feature': 'Pocket depth', 'value': '0.094', 'unit': 'inches (implied)', 'tolerance': 'unspecified_general'}]",VIEW C-C,Same as main (implied),detail view,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Entire part,"Bottom left, Note 1",REMOVE ALL BURRS AND SHARP EDGES.,general manufacturing,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All dimensions and tolerances,"Bottom left, Note 2",TOLERANCES APPLY AFTER PLATING.,general manufacturing,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Entire part,"Bottom left, Note 3","ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL.",coating/finish,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Machined text (part number 00255703-A is shown on the part),"Bottom left, Note 4",RETRIEVE MACHINED TEXT LOCATIONS FROM 3D CAD FILE PROVIDED BY QUANTEL USA. MACHINED TEXT DEPTH TO BE .005/.010. TEXT MAY ALSO BE LASER ETCHED.,machining/marking,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Indicated surfaces (not explicitly marked on drawing, but implied by context)","Bottom left, Note 5",RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES.,surface finish,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Perimeter of the part,"Bottom left, Note 6",.020 X .020 CHAMFER AROUND PERIMETER.,feature specification,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Drawing usage,Bottom center,DO NOT SCALE DRAWING,general instruction,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Drawing content,Title block area,THE INFORMATION CONTAINED IN THIS DRAWING IS THE SOLE PROPERTY OF QUANTEL USA. ANY REPRODUCTION IN PART OR WHOLE WITHOUT THE WRITTEN PERMISSION OF QUANTEL USA IS PROHIBITED.,proprietary information,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['ECN', 'REV', 'ZONE', 'DESCRIPTION', 'DATE', 'APPROVED']","[{'ECN': '3058', 'REV': '2', 'ZONE': 'BC2', 'DESCRIPTION': 'UPDATE THE 2X THRU HOLES AND 1X C-BORE DIAMETERS FROM .510/.050 TO .460/.050', 'DATE': '5/5/2015', 'APPROVED': 'M PERKINS'}, {'ECN': '3018', 'REV': 'A', 'ZONE': 'ALL', 'DESCRIPTION': 'RELEASE TO DOCUMENT CONTROL', 'DATE': '3/31/2014', 'APPROVED': 'T TEMPERO'}]",REVISIONS,revision history,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,6061-T6 AL,"ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL",RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES,unspecified,unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,99b3ee86-3712-468d-a3ea-00bc4535bb02_image (7).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Hole locations (4X ⌀.130 THRU and 2X ⌀.460 THRU) with position tolerances'],[],['Tolerances apply after plating (Note 2)'],Quality_Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
