Filename,Record Type,drawing_analysis_components_component_id,drawing_analysis_components_description,drawing_analysis_components_views_details_datum,drawing_analysis_components_views_details_description,drawing_analysis_components_views_details_designation,drawing_analysis_components_views_details_details_datum,drawing_analysis_components_views_details_details_location,drawing_analysis_components_views_details_details_type,drawing_analysis_components_views_details_details_type_of_tolerance,drawing_analysis_components_views_details_details_units,drawing_analysis_components_views_details_details_value,drawing_analysis_components_views_details_diameter,drawing_analysis_components_views_details_feature,drawing_analysis_components_views_details_label,drawing_analysis_components_views_details_location,drawing_analysis_components_views_details_quantity,drawing_analysis_components_views_details_tolerance,drawing_analysis_components_views_details_type,drawing_analysis_components_views_details_type_of_tolerance,drawing_analysis_components_views_details_units,drawing_analysis_components_views_details_value,drawing_analysis_components_views_section_label,drawing_analysis_components_views_type,drawing_analysis_components_views_view_name,drawing_analysis_surface_finish_units,drawing_analysis_units
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Orthographic Projection,Top Left View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 1,component_1_flange,Flange-like part with mounting holes,,,,,,,,,,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Outer diameter,,Bottom right of view,,,Dimension,,mm,Ø115,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,Ø7,Pin holes,,"Internal, arranged in two rows of four",8,,Hole,,mm,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Cross-section,Top Middle Left View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 2,component_2_connector_plug,Circular connector plug with multiple pins,,,,,,,,,,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Overall width,,Bottom horizontal dimension,,,Dimension,,mm,210,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,,Overall length,,Left vertical dimension,,,Dimension,,mm,210,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 3,,,,,,,,,,,,,Detail reference,,Top right of view,,,Annotation,,,5,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Orthographic Projection (Top View),Top Middle View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Overall height,,Left vertical dimension,,,Dimension,,mm,181,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,,Top pipe length,,Top horizontal dimension,,,Dimension,,mm,160,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 3,,,,,,,,,,,,,Top pipe outer diameter,,Top right of view,,,Dimension,,mm,Ø60,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 4,,,,,,,,,,,,,Top pipe inner diameter,,Top right of view,,,Dimension,,mm,Ø40,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 5,,,,,,,,,,,,,Internal bore diameter,,Middle of top section,,,Dimension,,mm,Ø26,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 6,,,,,,,,,,,,,Internal step depth,,Middle right of top section,,,Dimension,,mm,55,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 7,,,,,M100,,,,,,,,Bottom housing thread,,"Bottom housing, internal",,,Thread,,mm,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 8,,,,,,,,,,,,,,A-A,Top section of the assembly,,,Section View Reference,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 9,,,,"Cross-section of a structural element, I-beam like profile",,,,,,,,,,A-A,Right side of the main assembly view,,,Section View,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 2,,,,,,,,,,,,,,,,,,,,,,Б,"Orthographic Projection (Side View, Partial Section)",Top Right View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 3,component_3_main_assembly,"Main assembly, possibly a pump or motor unit",,,,,,,,,,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Overall diameter,,Top right of view,,,Dimension,,mm,Ø90,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,,Overall width/length,,Bottom horizontal dimension,,,Dimension,,mm,160,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 3,,,,,,,,,,,,,Internal slot width,,Top internal slot,,,Dimension,,mm,5,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 4,,,,,,,,,,,,,Internal diameter,,Middle internal diameter,,,Dimension,,mm,43,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 5,,,,,,,,,,,,,Internal feature length,,Bottom internal feature,,,Dimension,,mm,20,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 6,,,,,,,,,,,,,Outer surface,,Top left of view,,,Surface Finish,,µm,Rz 0.8,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 7,,,,,,,,,,,,,Internal surface,,Bottom right of view,,,Surface Finish,,µm,Rz 0.8,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Orthographic Projection,Bottom Left View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 4,component_4_circular_housing,Circular housing with internal flow channels,,,,,,,,,,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Overall length,,Bottom horizontal dimension,,,Dimension,,mm,70.5,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,,Left end diameter,,Left end of shaft,,"h9 (-0.036, -0.000)",Dimension,,mm,Ø15,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 3,,,,,,,,,,,,,Middle section diameter,,Middle of shaft,,,Dimension,,mm,Ø20,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 4,,,,,,,,,,,,,Right end diameter,,Right end of shaft,,,Dimension,,mm,Ø25,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 5,,,,,,,,,,,,,Keyway width,,Top left of keyway,,,Dimension,,mm,1.6,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 6,,,,,,,,,,,,,Keyway depth,,Bottom left of keyway,,,Dimension,,mm,1.6,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 7,,,,,,,,,,,,,Chamfer/Fillet radius,,Left end chamfer,,,Dimension,,mm,R1.6,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 8,,,,,,,,,,,,,Chamfer/Fillet radius,,Right end chamfer,,,Dimension,,mm,R1.6,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 9,,,A,,,,,,,,,,,,Left end of shaft,,,Geometric Tolerance,Runout,mm,0.020,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 10,,,,,,,,,,,,,Keyway surface,,Top left of keyway,,,Surface Finish,,µm,Rz 3.2,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 11,,,,,,,,,,,,,Shaft surfaces,,Multiple locations on shaft,,,Surface Finish,,µm,Rz 1.6,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 12,,,,,,,,,,,,,,A-A,Left end of shaft,,,Section View Reference,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 13,,,,,,,,,,,,,,B,Right end of shaft,,,Detail Reference,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Orthographic Projection (Side View),Bottom Middle Left View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 5,component_5_shaft,Shaft with keyway and multiple diameters,,,,,,,,,,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Overall length,,Top horizontal dimension,,,Dimension,,mm,118,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 2,,,,,,,,,,,,,Outer diameter,,Top right of view,,,Dimension,,mm,Ø85,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 3,,,,,,,,,,,,,Hole diameter,,Bottom right hole,,,Dimension,,mm,Ø13.5,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 4,,,,,,,,,,,,,Hole depth,,Bottom right hole depth,,,Dimension,,mm,12.5,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 5,,,,,,,,,,,,,Chamfer/Recess depth,,Top internal chamfer,,,Dimension,,mm,2.45,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 6,,,,,,,,,,,,,Total depth of feature,,Right vertical dimension,,,Dimension,,mm,28,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 7,,,,,M56 x2-6H,,,,,,,,Internal thread,,Internal bore,,,Thread,,mm,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 8,,,,,,,,,,,,,Internal threaded surface,,Top left of internal thread,,,Surface Finish,,µm,Rz 3.2,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 9,,,,,,,,,,,,,Chamfered surface,,Top internal chamfer,,,Surface Finish,,µm,Rz 0.8,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details_details Item 1,,,,,,,Top left of detail,Surface Finish,,µm,Rz 3.2,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details_details Item 2,,,,,,A,Middle of detail,Geometric Tolerance,Perpendicularity,mm,0.020,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details_details Item 3,,,,,,B,Middle of detail,Geometric Tolerance,Perpendicularity,mm,0.080,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details_details Item 4,,,,,,,Bottom right of detail,Surface Finish,,µm,Rz 0.4 Max,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 10,,,,Detail view showing geometric tolerances and surface finish,,,,,,,,,,Unlabeled Detail View,Bottom middle of the drawing,,,Detail View,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Cross-section,Bottom Middle Right View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 6,component_6_threaded_bushing,Threaded bushing or nut with mounting holes,,,,,,,,,,,,,,,,,,,,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views_details Item 1,,,,,,,,,,,,,Overall width,,Top horizontal dimension,,,Dimension,,mm,40,,,,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components_views Item 1,,,,,,,,,,,,,,,,,,,,,,,Cross-section,Bottom Right View,,
6456814b-d028-4026-aedc-77cbaa01df19_stock-photo-set-of-steel-mechanical-devices-with-shaft-gear-electric-engine-bolted-connection-and-dimension-2490915917.jpg,drawing_analysis_components Item 7,component_7_cover_housing,Cover or housing with internal steps,,,,,,,,,,,,,,,,,,,,,,,,
