Filename,Record Type,drawing_information_general_notes,drawing_information_revision_table_columns,drawing_information_revision_table_rows_ENTU,drawing_information_revision_table_rows_LUGROW,drawing_information_revision_table_rows_PHIRISOONG,drawing_information_revision_table_rows_TACT_1,drawing_information_revision_table_rows_TACT_2,drawing_information_title_block_additional_fields_label,drawing_information_title_block_additional_fields_value,drawing_information_title_block_date,drawing_information_title_block_drawing_number,drawing_information_title_block_drawing_title,views_annotations_location,views_annotations_text,views_callouts_associated_feature,views_callouts_text,views_callouts_unclear_character,views_description,views_dimensions_associated_feature,views_dimensions_note,views_dimensions_orientation,views_dimensions_symbol,views_dimensions_type,views_dimensions_unit,views_dimensions_value,views_location,views_name,views_type
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 5,,,,,,,,,,,,,,,general_annotation,SESTNKITE A,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 6,,,,,,,,,,,,,,,general_annotation,WHC C,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 7,,,,,,,,,,,,,,,circular_feature_callout,22K 4000 THRU AIL,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 8,,,,,,,,,,,,,,,circular_feature_callout,8.3K UNC THRU AIL,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_callouts Item 9,,,,,,,,,,,,,,,bottom_right_circular_feature,3K 4000.6 816,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views Item 2,,,,,,,,,,,,,,,,,,"Top projection of the part, showing the arrangement of circular features.",,,,,,,,top_right,,top_view
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 1,,,,,,,,,,,,,,,,,,,overall_width,,horizontal,,linear,,1 595,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 2,,,,,,,,,,,,,,,,,,,overall_height,,vertical,C (unclear),linear,,C 520,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 3,,,,,,,,,,,,,,,,,,,corner_radius,,,C (unclear),radius,RDU,C 576,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 4,,,,,,,,,,,,,,,,,,,corner_radius,- 8011,,5K (unclear),radius,,5K 5510 53J,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 5,,,,,,,,,,,,,,,,,,,circular_feature_top_right,,,8K (unclear),diameter/radius,,8K 30.31,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_annotations Item 1,,,,,,,,,,,,,near_top_left_circular_feature,WRPAAJM A,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_annotations Item 2,,,,,,,,,,,,,top_center_of_view_boundary,A | B,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_annotations Item 3,,,,,,,,,,,,,bottom_center_of_view_boundary,A | B,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views Item 3,,,,,,,,,,,,,,,,,,"Front projection of the part, showing overall dimensions and some features.",,,,,,,,bottom_left,,front_view
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 1,,,,,,,,,,,,,,,,,,,overall_height,,vertical,,linear,,1 620,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 2,,,,,,,,,,,,,,,,,,,internal_feature_height,,vertical,C (unclear),linear,,C 540,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 3,,,,,,,,,,,,,,,,,,,internal_feature_width,,horizontal,C (unclear),linear,,C 8N,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views Item 4,,,,,,,,,,,,,,,,,,"Section view AA, showing internal features and thickness.",,,,,,,,bottom_middle,AA,section_view
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 1,,,,,,,,,,,,,,,,,,,internal_feature_height,,vertical,C (unclear),linear,,C 283,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_dimensions Item 2,,,,,,,,,,,,,,,,,,,internal_feature_width,,horizontal,J (unclear),linear,,15 59J,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views_annotations Item 1,,,,,,,,,,,,,bottom_right_of_section,3IT,,,,,,,,,,,,,,
33f7e9ed-c0da-4163-9da0-8b97a6ffa564_image (4).jpg,views Item 5,,,,,,,,,,,,,,,,,,"Section view SA, showing internal features and thickness.",,,,,,,,bottom_right_middle,SA,section_view
