Filename,Record Type,component_type,drawing_title,drawing_zones,general_notes,revision_history_approved_by,revision_history_date,revision_history_description,revision_history_revision,revision_history_zone,specification_tables_data_parameter,specification_tables_data_unit,specification_tables_data_value_as_shown,specification_tables_data_value_numeric,specification_tables_table_name,title_block_approved,title_block_checked_date,title_block_company_project,title_block_drawing_number,title_block_drawn_by,title_block_drawn_date,title_block_mfg,title_block_qa,title_block_revision,title_block_scale,title_block_sheet_info,title_block_size,title_block_title,title_block_weight_unit,title_block_weight_value,views_dimensions_location,views_dimensions_notes,views_dimensions_symbol,views_dimensions_type,views_dimensions_unit,views_dimensions_value,views_geometric_features_associated_dimensions_type,views_geometric_features_associated_dimensions_unit,views_geometric_features_associated_dimensions_value,views_geometric_features_description,views_geometric_features_type,views_scale,views_view_name,views_view_type
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_geometric_features Item 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External gear teeth,gear_teeth,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views Item 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front View,Orthographic
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-left, thickness of outer rim",,,linear,inches,0.18,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-right, thickness of inner rim","appears twice, also bottom-right",,linear,inches,0.13,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-center, overall thickness of a section step",,,linear,inches,0.5,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"top-left, thickness of hub step",,,linear,inches,0.38,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mid-left, width of central hub feature",,,linear,inches,0.75,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom-left, thickness of hub step",,,linear,inches,0.16,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom-right, thickness of inner rim step",,,linear,inches,0.46,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom-right, thickness of outer rim step",,,linear,inches,0.53,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bottom, overall width/length of the part",,,linear,inches,0.875,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mid-left, bore diameter",,,diameter,inches,0.49,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mid-left, diameter of central hub step","appears twice, also mid-right",,diameter,inches,0.95,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mid-right, diameter of central body",,,diameter,inches,2.89,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mid-right, diameter of small bore/hole",,,diameter,inches,0.125,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views_dimensions Item 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"right, overall diameter of the part",,,diameter,inches,3.1,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,views Item 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 : 1,SECTION A-A,Sectional
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 1,,,,,,,,,,No. of Teeth,None,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 2,,,,,,,,,,Pitch Dia.,inches,"3""",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 3,,,,,,,,,,Hub Dia.,inches,"2""",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 4,,,,,,,,,,OD,inches,"3.10""",3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 5,,,,,,,,,,O'all,inches,"7/8""",0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 6,,,,,,,,,,Bore min.,inches,"3/8""",0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables_data Item 7,,,,,,,,,,Bore max,inches,"1 1/4""",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30bc4ad7-634c-43df-b857-53d394565979_image (3).jpg,specification_tables Item 1,,,,,,,,,,,,,,TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
