Feature_Index,Feature_dimensions,Feature_feature_description,Feature_feature_type,Feature_location,Feature_quantity,Feature_specification,Filename,GeoTol_datum_references,GeoTol_feature,GeoTol_location,GeoTol_material_condition,GeoTol_tolerance_type,GeoTol_tolerance_value,GeoTol_tolerance_zone,Material_base_material,Material_coating,Material_finish,Material_hardness_requirement,Material_heat_treatment,Meta_approved_by,Meta_checked_by,Meta_company,Meta_component_type,Meta_date_created,Meta_date_revised,Meta_drawing_number,Meta_drawing_type,Meta_drawn_by,Meta_material_specification,Meta_part_name,Meta_revision,Meta_scale,Meta_sheet_info,Meta_standards_referenced,Note_Index,Note_applies_to,Note_location_on_drawing,Note_note_text,Note_note_type,Overall_diameter,Overall_height,Overall_length,Overall_other_critical_dimensions,Overall_width,Quality_critical_dimensions,Quality_functional_requirements,Quality_inspection_requirements,Record_Type,Section_Index,Section_cutting_plane_location,Section_dimensions_shown,Section_section_identifier,Section_section_scale,Section_section_type,Surface_Index,Surface_coating,Surface_feature,Surface_machining_requirement,Surface_roughness_unit,Surface_roughness_value,Surface_surface_symbol,Table_Index,Table_column_headers,Table_table_data,Table_table_title,Table_table_type,Thread_Index,Thread_location,Thread_quantity,Thread_thread_class,Thread_thread_length,Thread_thread_specification,Tol_general_tolerances,Tol_specific_tolerances,Tolerance_Index
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,['A'],2X ⌀0.460 THRU holes,"Main view, associated with 2X ⌀0.460 THRU dimension",MMC,Position,⌀0.050,Cylindrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geometric_Tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface_Specification,,,,,,,1,,Indicated surfaces,RANDOM-ORBITAL SAND,grit,200-240 GRIT,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Threaded_Feature,,,,,,,,,,,,,,,,,,,1,Center of part,1,,THRU ALL,8-32 UNC,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,1,Through the ⌀0.130 THRU / ⌀0.256 counterbore holes,"[{'feature': 'Depth of ⌀0.063 blind hole', 'value': '0.063', 'unit': 'inch', 'tolerance': None}]",SECTION A-A,Same as main drawing (1:1),Full Section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,2,Through the ⌀0.460 THRU holes and 8-32 UNC THRU ALL hole,"[{'feature': 'Depth of central pocket', 'value': '1.336', 'unit': 'inch', 'tolerance': None}, {'feature': 'Step depth within central pocket', 'value': '0.826', 'unit': 'inch', 'tolerance': None}, {'feature': 'Reference depth of counterbore for ⌀0.460 holes', 'value': '(1.094)', 'unit': 'inch', 'tolerance': None}]",SECTION B-B,Same as main drawing (1:1),Full Section,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section_View,3,VIEW PERPENDICULAR TO SURF A,"[{'feature': 'Pocket Radius', 'value': 'R.385', 'unit': 'inch', 'tolerance': None}, {'feature': 'Pocket Diameter', 'value': '⌀.094', 'unit': 'inch', 'tolerance': None}]",VIEW C-C,Same as main drawing (1:1),Detail View,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Entire part,Bottom left,1. REMOVE ALL BURRS AND SHARP EDGES.,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,All dimensions and tolerances,Bottom left,2. TOLERANCES APPLY AFTER PLATING.,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Entire part,Bottom left,"3. ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL.",coating,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Machined text '00255703-A',Bottom left,4. RETRIEVE MACHINED TEXT LOCATIONS FROM 3D CAD FILE PROVIDED BY QUANTEL USA. MACHINED TEXT DEPTH TO BE .005/.010. TEXT MAY ALSO BE LASER ETCHED.,machining,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Indicated surfaces,Bottom left,5. RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES.,surface finish,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Perimeter of the part,Bottom left,6. 0.020 X 0.020 CHAMFER AROUND PERIMETER.,feature specification,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Drawing interpretation,Title block area,DO NOT SCALE DRAWING,general,,,,,,,,,Manufacturing_Note,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Table_Data,,,,,,,,,,,,,,1,"['ECN', 'REV', 'ZONE', 'DESCRIPTION', 'DATE', 'APPROVED']","[{'ECN': '3038', 'REV': 'A', 'ZONE': 'ALL', 'DESCRIPTION': 'RELEASE TO DOCUMENT CONTROL', 'DATE': '3/3/2015', 'APPROVED': 'M. PERKINS'}, {'ECN': '3098', 'REV': 'B', 'ZONE': 'C2', 'DESCRIPTION': 'UPDATE THE 2X THRU HOLES AND 1X C-BORE DIAMETERS FROM .510/.060 TO .460/.050', 'DATE': '3/3/2015', 'APPROVED': 'M. PERKINS'}]",REVISIONS,Revision History,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,6061-T6 AL,"ANODIZE CLEAR PER MIL-A-8625 TYPE 2, CLASS 1 HEAVY NICKEL-ACETATE SEAL",RANDOM-ORBITAL SAND WITH 200-240 GRIT SANDPAPER ON INDICATED SURFACES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material_Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,af01ba83-da69-4aca-ae93-b0bac7a56426_image (6).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],['TOLERANCES APPLY AFTER PLATING'],Quality_Requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,
